Research rank,Callable rank,Existing cockpit record,Business,Category,City / service area,State,Phone,Email,Paid channel(s),Paid-signal confidence,Paid evidence,Platform response / demand,Recommended first conversation,Why this angle,Google profile status,Google rating,Google reviews,Google Maps,Google search,Website status,Website,Platform profile(s),Evidence page(s),Observed,Cockpit lead ID,Match method,Possible existing IDs,Status,Notes
273,,Research-only · not ready to call,Maypo AC & Refrigeration LLC,HVAC,Yuma,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · 6 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Maypo%20AC%20%26%20Refrigeration%20LLC%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/yuma/hvac.htm,2026-07-22,platform-maypo-ac-and-refrigeration-yuma,,,,
274,,Research-only · not ready to call,MCR Roofing,Roofing,Flagstaff,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid) | Angi: Approved advertiser badge (Confirmed paid),Angi · response 8 hrs · 9 recent quote requests | Angi · response 8 hrs · 7 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=MCR%20Roofing%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/flagstaff/roofing.htm | https://www.angi.com/companylist/us/az/prescott/roofing.htm,2026-07-22,platform-mcr-roofing-flagstaff,,,,
275,,Research-only · not ready to call,Minor To Major Cleaning,House Cleaning,Phoenix,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Minor%20To%20Major%20Cleaning%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/phoenix/house-cleaning.htm,2026-07-22,platform-minor-to-major-cleaning-phoenix,,,,
276,,Research-only · not ready to call,Miracle Man Plumbing Inc.,Plumbing,Prescott,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · 30 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Miracle%20Man%20Plumbing%20Inc.%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/prescott/plumbing.htm,2026-07-22,platform-miracle-man-plumbing-prescott,,,,
277,,Research-only · not ready to call,Mister Sparky,Electrical,Tucson,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · 24 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Mister%20Sparky%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/tucson/electrical.htm,2026-07-22,platform-mister-sparky-tucson,,,,
278,,Research-only · not ready to call,Mister Sparky Phoenix,Electrical,Phoenix,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid) | Angi: Approved advertiser badge (Confirmed paid),Angi · response 2 days · 292 recent quote requests | Angi · response 2 days · 284 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Mister%20Sparky%20Phoenix%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/phoenix/electrical.htm | https://www.angi.com/companylist/us/az/casa-grande/electrical.htm,2026-07-22,platform-mister-sparky-phoenix-phoenix,,,,
279,,Research-only · not ready to call,"Mr. Foam, LLC",Roofing,Yuma,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 6 hrs · rate 87% · 25 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Mr.%20Foam%2C%20LLC%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/yuma/roofing.htm,2026-07-22,platform-mr-foam-yuma,,,,
280,,Research-only · not ready to call,Mr. Rooter Plumbing of Yavapai Coconino & Maricopa,Plumbing,Flagstaff,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid) | Angi: Approved advertiser badge (Confirmed paid),Angi · response 1 day · rate 93% · 16 recent quote requests | Angi · response 1 day · rate 93% · 27 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Mr.%20Rooter%20Plumbing%20of%20Yavapai%20Coconino%20%26%20Maricopa%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/flagstaff/plumbing.htm | https://www.angi.com/companylist/us/az/prescott/plumbing.htm,2026-07-22,platform-mr-rooter-plumbing-of-yavapai-coconino-and-maricopa-flagstaff,,,,
281,,Research-only · not ready to call,"National Van Lines, Inc.",Moving,Tucson,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · 257 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=National%20Van%20Lines%2C%20Inc.%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/tucson/moving.htm,2026-07-22,platform-national-van-lines-tucson,,,,
282,,Research-only · not ready to call,"NATIONWIDE MOVING, INC.",Moving,Tucson,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · 13 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=NATIONWIDE%20MOVING%2C%20INC.%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/tucson/moving.htm,2026-07-22,platform-nationwide-moving-tucson,,,,
283,,Research-only · not ready to call,Neli Virtual Appliance Repair,Electrical; Plumbing,Lake Havasu City,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid) | Angi: Approved advertiser badge (Confirmed paid) | Angi: Approved advertiser badge (Confirmed paid) | Angi: Approved advertiser badge (Confirmed paid) | Angi: Approved advertiser badge (Confirmed paid) | Angi: Approved advertiser badge (Confirmed paid) | Angi: Approved advertiser badge (Confirmed paid) | Angi: Approved advertiser badge (Confirmed paid),Angi · response 1 day | Angi · response 1 day | Angi · response 1 day | Angi · response 1 day,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Neli%20Virtual%20Appliance%20Repair%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/flagstaff/electrical.htm | https://www.angi.com/companylist/us/az/prescott/electrical.htm | https://www.angi.com/companylist/us/az/yuma/plumbing.htm | https://www.angi.com/companylist/us/az/yuma/electrical.htm | https://www.angi.com/companylist/us/az/lake-havasu-city/plumbing.htm | https://www.angi.com/companylist/us/az/lake-havasu-city/electrical.htm | https://www.angi.com/companylist/us/az/sierra-vista/plumbing.htm | https://www.angi.com/companylist/us/az/sierra-vista/electrical.htm,2026-07-22,platform-neli-virtual-appliance-repair-lake-havasu-city,,,,
284,,Research-only · not ready to call,"Ninja Builders, LLC",General Contractor,Tucson,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 1 day · 2 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Ninja%20Builders%2C%20LLC%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/tucson/contractor.htm,2026-07-22,platform-ninja-builders-tucson,,,,
285,,Research-only · not ready to call,North Desert Moving,Moving,Tucson,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · 2 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=North%20Desert%20Moving%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/tucson/moving.htm,2026-07-22,platform-north-desert-moving-tucson,,,,
286,,Research-only · not ready to call,Northern Arizona Tree & Landscape Service,Electrical,Flagstaff,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid) | Angi: Approved advertiser badge (Confirmed paid),Angi · 7 recent quote requests | Angi · response 2 days · 7 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Northern%20Arizona%20Tree%20%26%20Landscape%20Service%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/flagstaff/electrical.htm | https://www.angi.com/companylist/us/az/prescott/electrical.htm,2026-07-22,platform-northern-arizona-tree-and-landscape-service-flagstaff,,,,
287,,Research-only · not ready to call,"O C Pool and Spa Renovations, LLC",Pool & Spa Service,Phoenix,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 12 hrs · 1 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=O%20C%20Pool%20and%20Spa%20Renovations%2C%20LLC%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/phoenix/pool-and-spa-service.htm,2026-07-22,platform-o-c-pool-and-spa-renovations-phoenix,,,,
288,,Research-only · not ready to call,Ocotillo Plumbing LLC,Plumbing,Tucson,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 20 mins · rate 92%,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Ocotillo%20Plumbing%20LLC%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/tucson/plumbing.htm,2026-07-22,platform-ocotillo-plumbing-tucson,,,,
289,,Research-only · not ready to call,Omega Electrical Service Inc,Electrical,Tucson,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid) | Angi: Approved advertiser badge (Confirmed paid),Angi · 2 recent quote requests | Angi · 2 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Omega%20Electrical%20Service%20Inc%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/tucson/electrical.htm | https://www.angi.com/companylist/us/az/sierra-vista/electrical.htm,2026-07-22,platform-omega-electrical-service-tucson,,,,
290,,Research-only · not ready to call,One Hour Air Conditioning and Heating,HVAC,Tucson,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid) | Angi: Approved advertiser badge (Confirmed paid),Angi · response 5 hrs · rate 100% · 39 recent quote requests | Angi · response 6 hrs · rate 93% · 20 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=One%20Hour%20Air%20Conditioning%20and%20Heating%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/tucson/hvac.htm | https://www.angi.com/companylist/us/az/sierra-vista/hvac.htm,2026-07-22,platform-one-hour-air-conditioning-and-heating-tucson,,,,
291,,Research-only · not ready to call,One Hour Air Conditioning and Heating of Mohave County,HVAC,Lake Havasu City,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=One%20Hour%20Air%20Conditioning%20and%20Heating%20of%20Mohave%20County%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/lake-havasu-city/hvac.htm,2026-07-22,platform-one-hour-air-conditioning-and-heating-of-mohave-county-lake-havasu-city,,,,
292,,Research-only · not ready to call,One Hour Heating and Air Conditioning,HVAC,Phoenix,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 1 day · 78 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=One%20Hour%20Heating%20and%20Air%20Conditioning%20Arizona,Website linked on Angi profile · live state not audited,http://onehourheatandair.com/west-valley,https://www.angi.com/companylist/us/az/phoenix/one-hour-heating-and-air-conditioning-reviews-1.htm,https://www.angi.com/companylist/us/az/phoenix/hvac.htm,2026-07-22,platform-one-hour-heating-and-air-conditioning-phoenix,,,,
293,,Research-only · not ready to call,Only JZ Development,General Contractor,Phoenix,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · 5 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Only%20JZ%20Development%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/phoenix/contractor.htm,2026-07-22,platform-only-jz-development-phoenix,,,,
294,,Research-only · not ready to call,Organized by Design,Kitchen & Bath Remodeling,Phoenix,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · 3 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Organized%20by%20Design%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/phoenix/kitchen-and-bath-remodeling.htm,2026-07-22,platform-organized-by-design-phoenix,,,,
295,,Research-only · not ready to call,Ortega Electric LLC,Electrical,Sierra Vista,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 4 hrs · 3 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Ortega%20Electric%20LLC%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/sierra-vista/electrical.htm,2026-07-22,platform-ortega-electric-sierra-vista,,,,
296,,Research-only · not ready to call,Over And Beyond,House Cleaning,Phoenix,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 2 hrs · rate 95% · 8 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Over%20And%20Beyond%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/phoenix/house-cleaning.htm,2026-07-22,platform-over-and-beyond-phoenix,,,,
297,,Research-only · not ready to call,"Painting Green, Inc.",Painting,Tucson,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Painting%20Green%2C%20Inc.%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/tucson/painting.htm,2026-07-22,platform-painting-green-tucson,,,,
298,,Research-only · not ready to call,"Palm Tree Construction, LLC",General Contractor,Tucson,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 1 day · rate 96% · 38 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Palm%20Tree%20Construction%2C%20LLC%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/tucson/contractor.htm,2026-07-22,platform-palm-tree-construction-tucson,,,,
299,,Research-only · not ready to call,Paloma Pools,Pool & Spa Service,Tucson,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 1 day · 4 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Paloma%20Pools%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/tucson/pool-and-spa-service.htm,2026-07-22,platform-paloma-pools-tucson,,,,
300,,Research-only · not ready to call,"Phoenix Air Ducts Cleaning Pro, LLC",HVAC,Tucson,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid) | Angi: Approved advertiser badge (Confirmed paid),Angi · response 1 day · rate 93% | Angi · response 1 day · rate 93%,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Phoenix%20Air%20Ducts%20Cleaning%20Pro%2C%20LLC%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/tucson/hvac.htm | https://www.angi.com/companylist/us/az/sierra-vista/hvac.htm,2026-07-22,platform-phoenix-air-ducts-cleaning-pro-tucson,,,,
301,,Research-only · not ready to call,Pima Roofing LLC,Roofing,Tucson,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Pima%20Roofing%20LLC%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/tucson/roofing.htm,2026-07-22,platform-pima-roofing-tucson,,,,
302,,Research-only · not ready to call,Pinnacle Custom Remodeling LLC,Kitchen & Bath Remodeling,Tucson,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · 1 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Pinnacle%20Custom%20Remodeling%20LLC%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/tucson/kitchen-and-bath-remodeling.htm,2026-07-22,platform-pinnacle-custom-remodeling-tucson,,,,
303,,Research-only · not ready to call,"Pioneer Plumbing Heating and Cooling, Inc",Plumbing,Tucson,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · 25 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Pioneer%20Plumbing%20Heating%20and%20Cooling%2C%20Inc%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/tucson/plumbing.htm,2026-07-22,platform-pioneer-plumbing-heating-and-cooling-tucson,,,,
304,,Research-only · not ready to call,PIPING HOT PLUMBING LLC,Plumbing,Casa Grande,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · 4 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=PIPING%20HOT%20PLUMBING%20LLC%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/casa-grande/plumbing.htm,2026-07-22,platform-piping-hot-plumbing-casa-grande,,,,
305,,Research-only · not ready to call,"Plugged In Electric, LLC",Electrical,Tucson,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 10 hrs · 3 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Plugged%20In%20Electric%2C%20LLC%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/tucson/electrical.htm,2026-07-22,platform-plugged-in-electric-tucson,,,,
306,,Research-only · not ready to call,Plumbing By Jake,Plumbing,Lake Havasu City,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 11 hrs · 21 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Plumbing%20By%20Jake%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/lake-havasu-city/plumbing.htm,2026-07-22,platform-plumbing-by-jake-lake-havasu-city,,,,
307,,Research-only · not ready to call,Plymwr Plumbing,Plumbing,Yuma,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid) | Angi: Approved advertiser badge (Confirmed paid),Angi · response 6 hrs · 2 recent quote requests | Angi · response 6 hrs · 2 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Plymwr%20Plumbing%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/yuma/plumbing.htm | https://www.angi.com/companylist/us/az/lake-havasu-city/plumbing.htm,2026-07-22,platform-plymwr-plumbing-yuma,,,,
308,,Research-only · not ready to call,Pool Palooza Cleaning,Pool & Spa Service,Tucson,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 1 day · rate 91% · 8 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Pool%20Palooza%20Cleaning%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/tucson/pool-and-spa-service.htm,2026-07-22,platform-pool-palooza-cleaning-tucson,,,,
309,,Research-only · not ready to call,Pool Up LLC,Pool & Spa Service,Phoenix,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 2 days · rate 86%,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Pool%20Up%20LLC%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/phoenix/pool-and-spa-service.htm,2026-07-22,platform-pool-up-phoenix,,,,
310,,Research-only · not ready to call,"Precise Pool Service, LLC",Pool & Spa Service,Phoenix,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · 12 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Precise%20Pool%20Service%2C%20LLC%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/phoenix/pool-and-spa-service.htm,2026-07-22,platform-precise-pool-service-phoenix,,,,
311,,Research-only · not ready to call,"Precision Blueprint Development, LLC",General Contractor,Phoenix,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · 3 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Precision%20Blueprint%20Development%2C%20LLC%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/phoenix/contractor.htm,2026-07-22,platform-precision-blueprint-development-phoenix,,,,
312,,Research-only · not ready to call,"Precision Pool Techs, LLC",Pool & Spa Service,Phoenix,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 7 hrs · rate 98%,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Precision%20Pool%20Techs%2C%20LLC%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/phoenix/pool-and-spa-service.htm,2026-07-22,platform-precision-pool-techs-phoenix,,,,
313,,Research-only · not ready to call,Preferred Klean-Co Llc,House Cleaning,Tucson,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Preferred%20Klean-Co%20Llc%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/tucson/house-cleaning.htm,2026-07-22,platform-preferred-klean-tucson,,,,
314,,Research-only · not ready to call,"Price Electric, LLC",Electrical,Prescott,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 6 hrs,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Price%20Electric%2C%20LLC%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/prescott/electrical.htm,2026-07-22,platform-price-electric-prescott,,,,
315,,Research-only · not ready to call,"Pride Heating, Cooling, Plumbing and Electrical","HVAC, plumbing and electrical",Tucson,AZ,,,Yelp,Confirmed paid,Yelp: Sponsored result (Confirmed paid),,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/search?q=Pride%20Heating%2C%20Cooling%2C%20Plumbing%20and%20Electrical%20Tucson%20AZ,Not audited,,https://www.yelp.com/biz/pride-mechanical-tucson-5,https://www.yelp.com/search?find_desc=Plumbers&find_loc=Tucson%2C%20AZ,2026-07-21,platform-pride-heating-cooling-plumbing-and-electrical-tucson,,,,
316,,Research-only · not ready to call,"PROFESSIONAL INTEGRATED TECHNOLOGIES, LLC",Electrical,Flagstaff,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · response 30 mins,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=PROFESSIONAL%20INTEGRATED%20TECHNOLOGIES%2C%20LLC%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/flagstaff/electrical.htm,2026-07-22,platform-professional-integrated-technologies-flagstaff,,,,
317,,Research-only · not ready to call,Prolific Landscape Solutions,Landscaping,Tucson,AZ,,,Angi,Confirmed paid,Angi: Approved advertiser badge (Confirmed paid),Angi · 6 recent quote requests,Research first,"Paid lead-acquisition activity is verified, but the business identity, contact details, website, and Google profile still need to be joined before outreach.",Not yet cross-checked,,0,,https://www.google.com/maps/search/?api=1&query=Prolific%20Landscape%20Solutions%20Arizona,Website not yet cross-checked,,,https://www.angi.com/companylist/us/az/tucson/landscaping.htm,2026-07-22,platform-prolific-landscape-solutions-tucson,,,,
